Class,EGFR,HER2,AKT1,MTOR,MKI67,CASP3,PARP1,HIF1A,HMGB1,MLKL,GAPDH,ACTB,TUBB,ALB,ENO1,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44
Tumor,15.006552152826037,12.428788747653861,10.185993390716696,11.106385470867961,12.794430543553114,9.69503160750241,9.965134022447291,11.188974204622008,7.60425445832768,10.658661255735998,,10.137296524829967,7.115531610991928,9.885413293453436,10.915325723316966,10.168111797486759,10.408678670286392,,8.601635391260766,8.78911959156586,,10.589009970216964,8.21637511230327,13.084506016647833,6.364885638364781,7.439912818318863,10.83050845085751,,9.891442093941473,11.01429894577057,10.851552910852881,10.000120344678994,10.402355042875637,5.288839660019966,9.800249568831486,9.928460213312444,12.869244364172527,8.761485417746224,9.946201829698241,12.135451534448759,10.84016911606625,10.03774737453884,11.443481287697573,8.810915653730442,12.587962899740155
Tumor,13.897284138228278,10.351831470687923,,10.537161060479256,14.652386532487494,10.845263993782917,9.309586537527554,11.800535638131507,9.874707451013421,13.935078018692396,8.200846979437305,10.962534958953764,9.40389727359472,8.984438474013023,9.740404250247844,10.550503274869698,10.087448976474086,11.016524167628724,10.910464138571003,12.177136486388546,8.198176533791365,7.664005005637438,9.898350981756554,8.809593650164915,11.310913420707935,8.398259391583126,9.175559719770993,9.501481111092554,12.64829511806601,13.16144699305391,8.287896472806215,6.706423290087718,9.139030309835105,9.944603128412433,9.937718915062565,9.873692487336143,11.223859727304077,9.395792418204662,10.320024891269698,10.967021837927431,10.32912699981537,11.01356127776272,7.438109457281066,,10.344690912331835
Tumor,,11.79036423775094,15.694306310810221,14.395907349743702,14.118364647747203,9.507413743709238,9.566138182188674,8.85192421131878,9.286595872251095,8.591106633412219,9.419225562093779,10.546474633884856,11.229591227847694,9.923190513996754,9.881711715183263,10.215926939315572,11.475029844739094,9.66250310753317,10.694379885141732,10.555865307343385,9.064651713012982,11.06003486068358,6.891738440610462,11.59260776681122,8.20882496497051,,11.243458661160833,9.359465209066126,10.351258077084196,11.267741198359284,12.772329716200868,9.977430267122068,10.269687932941123,10.06069449043484,9.668105362348442,7.9814087835860885,8.318780504675859,9.978578408780713,10.511637890034924,11.89213969409229,9.685416291107007,12.293007077430161,8.19323843308565,10.315230997900997,9.599180095945119
Tumor,11.327035915407325,11.547550924776125,13.179819283635405,14.60135031737146,10.915426105259062,11.142459060458224,9.391462549515463,8.519989039615067,9.645946906807504,9.053094423250265,12.470461573943853,9.527124455315723,8.623392877531618,12.46766043327759,,10.159460743319986,8.805590456808496,11.14980651811894,7.804876404444751,11.039908569761689,,11.485089900718668,6.459328750366703,8.619075558442969,8.5004078917034,8.32310592679687,10.637525977170327,9.557062284838937,8.693008485556275,,8.558242832698527,11.298677668018565,9.899961969242254,11.247057006543022,13.997010489959187,9.973210330285662,7.874462895859057,9.794455876801711,12.818636140367502,11.630113933764223,9.030950169771,9.543945411191148,11.162521158672249,10.719348585945644,11.178513075627231
Tumor,14.475969627581982,13.25946449161549,11.390800730721992,,10.570351506753003,7.715183246293522,8.928027225376944,8.982446394866937,7.710196230032879,7.440177111162122,11.602752980166441,9.749497929467271,9.635996387644232,10.084445043659507,12.397223656047517,10.1744520025817,9.833139683590263,9.043612599656226,10.898444571881544,9.903451525746028,12.47817779873576,9.758865856137355,11.511473493056965,8.933400501081245,8.91873635261041,7.259808996412594,11.191702929219856,9.942652079597591,10.959344396281649,12.544265332835197,8.729997923171082,8.503050385535618,8.819304111086568,6.844762955615661,9.710184998577377,11.326299425371639,10.073555670671432,7.643629636529514,9.464673025391997,10.187756392227744,11.443766577956737,11.194702829443575,,9.479128235232166,10.891195961371752
Tumor,13.171713461580516,15.693998038628761,11.003597619614986,14.630244584071674,13.083038903753884,7.060531409273816,10.96065982282742,10.382261383167188,10.729230468019075,13.377834930370495,9.608085264023835,7.671298824784562,11.901306493995087,7.330657231498542,8.880402064849362,10.06314304340535,8.651875181127844,9.904338313869284,9.796300853929269,12.303731795390593,6.367396332617395,10.131031102923865,8.618890050337397,9.156223706076407,11.020139034250164,10.777028883963434,10.514223364949508,8.113312926482731,11.779273524207994,8.686373903158595,12.079585181976555,9.025883465005963,11.546247747367262,10.152600032211193,7.488947492863638,9.466753527810466,12.553514846024985,11.235179429449303,9.347358858391722,11.955485746602648,10.422820087460053,12.46422369518503,9.881170669246428,9.562225942305414,11.482253334599534
Tumor,14.503046184912382,12.602845045504282,10.3381544178969,15.736626471367057,14.66295846373667,12.027328076292195,7.9603438141173655,8.255917499641477,8.8796956386449,9.640984729778197,8.000576912735447,10.955922403528234,9.342575916813388,,13.148373219202423,9.10892272815513,8.849058114625803,11.12092083362179,10.145462777602713,10.554509574295869,11.994091880121992,9.592479482995971,8.401384227843801,8.154291636230614,9.734012539339062,9.472205648656967,11.29732467991365,12.08872220330552,12.082820261649637,8.948377710033725,8.795136642164314,7.279852662739682,10.00454018914819,11.32708435173662,8.93998723168043,7.77977614024061,12.828743145549668,8.942264690420256,9.831461198098927,9.300355687363508,7.999884295770614,11.352821502192045,7.376558372065669,11.686530310227464,10.402074198768371
Tumor,14.14048296512224,12.372660530821115,,,12.96422676466426,8.667756030438479,6.773469972194418,10.925485022568338,13.655749418138463,10.84908403723407,9.928866729059552,9.405091954574267,9.452107242371547,9.40497131690725,10.2984863682282,6.420431303567657,6.159674788508974,10.676792627915368,9.701300209417207,8.521360727009556,8.480134315671433,9.163436028963387,9.372480042643444,12.13501761037437,8.394918516391987,11.145924860960719,10.885397882204098,9.685853452411015,11.147477562645959,10.662506986144075,8.115735043166678,9.110002143333897,10.58165911332643,9.10300981554295,10.916120307766354,11.743788461357495,9.959288204514847,9.091191395874654,8.920566173221047,9.453513428469094,9.348662150821642,11.296041111969341,9.120292985678043,9.736363045170098,11.16956286398398
Tumor,11.251536503331671,,,15.905565718866686,14.475983113199993,12.491051318684933,10.248628917778552,11.314500343432574,12.932511588845756,9.056997640499958,9.21801148212716,11.199125350356226,9.759122081561808,8.588602374785168,9.476237047165819,7.877853977407401,10.036927291113125,10.244637973703199,11.627407063958747,11.77074784279109,9.524146524681086,13.161389705178511,8.389205233246381,7.899907043338338,8.136772046437722,8.24307846908274,11.137115097939734,12.523241119425503,12.584860774758827,7.173102524011275,11.285232777165561,12.290600036837034,11.496903915554363,9.04994591364017,10.252601379187535,8.57272937219517,11.121139480096065,,11.028072158738741,8.934888251577611,10.54480710179136,,9.459492195432201,11.42015950995036,12.289721940764574
Tumor,12.789015206150875,13.310764020027365,11.181088822919842,12.565345241608924,13.302771783080368,8.111265336788843,11.588873735241634,10.155177906565731,9.180013482132036,9.91270523083028,11.794484991828575,11.541479691040042,10.837462744189677,8.99594186253212,10.179004568539222,8.363523257145314,9.869083842500018,11.466927673399486,11.74481853574738,9.03580227881729,11.24893028353133,10.940809514191978,9.639093374794262,11.119175819891172,11.83941858883937,11.27598779183737,8.419473586974044,9.58277510918617,10.599427986075833,8.794756549606626,12.33692763614585,10.470174644956169,9.319648386906614,9.225903222378747,8.957246244236513,11.058764081537824,11.237209034978715,9.00419280013564,12.203900972555989,,8.804632714432394,,,7.952339837942467,8.57013471744521
